PRT_ID,AREA,INT_SQFT,DATE_SALE,DISTANT FROM THE MAINROAD,NUMBER OF BEDROOM,NUMBER OF BATHROOM,NUMBER OF ROOM,REGISTRATION FEE,COMMISSSION PRICE,SALES PRICE,,,Latitude,Longitude
P03210,Karapakkam,1004,04-05-2011,131,1,1,3,380000,144400,7600000,,,12.9346,80.2409
P09411,Anna Nagar,1986,19-12-2006,26,2,1,5,760122,304049,21717770,,,13.086,80.2103
P01812,Adyar,909,04-02-2012,70,1,1,3,421094,92114,13159200,,,13.0067,80.257
P05346,Velachery,1855,13-03-2010,14,3,2,5,356321,77042,9630290,,,12.9784,80.221
P06210,Karapakkam,1226,05-10-2009,84,1,1,3,237000,74063,7406250,,,12.9346,80.2409
P00219,Chrompet,1220,11-09-2014,36,2,1,4,409027,198316,12394750,,,12.9489,80.1354
P09105,Chrompet,1167,05-04-2007,137,1,1,3,263152,33955,8488790,,,12.9489,80.1354
P09679,Velachery,1847,13-03-2006,176,3,2,5,604809,235204,16800250,,,12.9784,80.221
P03377,Chrompet,771,06-04-2011,175,1,1,2,257578,33236,8308970,,,12.9489,80.1354
P09623,Velachery,1635,22-06-2006,74,2,1,4,323346,121255,8083650,,,12.9784,80.221
P09540,Chrompet,1203,19-10-2006,78,2,1,4,403326,119504,14938000,,,12.9489,80.1354
P07121,Chrompet,1054,16-02-2009,143,1,1,3,245693,141746,9449730,,,12.9489,80.1354
P05512,Chrompet,1196,11-02-2010,137,1,1,3,289554,35097,8774370,,,12.9489,80.1354
P09370,Adyar,1056,01-01-2007,83,1,1,3,319141,37546,9386490,,,13.0067,80.257
P04085,Velachery,1865,11-11-2010,157,3,2,5,619987,294494,15499680,,,12.9784,80.221
P06328,Velachery,1868,12-09-2009,148,3,2,5,597135,188569,15714080,,,12.9784,80.221
P06039,Karapakkam,1639,04-11-2009,175,2,2,4,285648,77904,8656000,,,12.9346,80.2409
P02016,Chrompet,796,25-12-2011,134,1,1,2,316464,130951,10912550,,,12.9489,80.1354
P08160,Adyar,1136,05-04-2008,69,1,1,3,323214,49725,8287550,,,13.0067,80.257
P01372,Anna Nagar,1902,02-07-2012,168,2,1,5,742113,212032,21203240,,,13.086,80.2103
P00936,Chrompet,1069,19-04-2013,53,1,1,3,283544,43622,10905530,,,12.9489,80.1354
P07346,Chrompet,931,13-12-2008,96,1,1,3,248021,27558,9185970,,,12.9489,80.1354
P06851,KK Nagar,2010,06-05-2009,114,3,2,5,327762,262210,10925400,,,13.0378,80.2055
P04665,Chrompet,1074,23-07-2010,100,1,1,3,288821,86646,9627380,,,12.9489,80.1354
P00902,TNagar,1972,13-05-2013,111,2,1,5,487297,167073,13922760,,,,
P00293,T Nagar,1685,19-07-2014,105,1,1,4,352830,176415,12601080,,,13.0418,80.2332
P02235,Adyar,1130,10-11-2011,29,1,1,3,468417,53533,13383350,,,13.0067,80.257
P04080,Karapakkam,1301,12-11-2010,59,1,1,3,357283,71457,7939625,,,12.9346,80.2409
P02677,Adyar,730,19-08-2011,185,1,1,2,265449,53090,8848285,,,13.0067,80.257
P00755,T Nagar,1806,18-08-2013,138,2,1,5,430852,113382,11338200,,,13.0418,80.2332
P06980,Anna Nagar,1981,01-04-2009,173,2,1,5,373300,218831,12872430,,,13.086,80.2103
P02696,Adyar,868,15-08-2011,15,1,1,3,325514,72336,9042050,,,13.0067,80.257
P01517,T Nagar,1721,26-03-2012,117,1,1,4,416483,223116,14874380,,,13.0418,80.2332
P09650,Velachery,1755,28-04-2006,16,2,1,4,306671,173780,10222380,,,12.9784,80.221
P05950,Anna Nagar,1709,22-11-2009,130,1,1,4,452501,90500,12928590,,,13.086,80.2103
P05051,KK Nagar,2114,09-05-2010,46,3,2,5,632334,281037,17564820,,,13.0378,80.2055
P04978,Karapakkam,1226,23-05-2010,180,1,1,3,154109,114339,4971250,,,12.9346,80.2409
P03704,Velachery,1648,28-01-2011,111,2,1,4,275120,82536,9170660,,,12.9784,80.221
P02247,Chrompet,856,07-11-2011,36,1,1,3,332269,103834,10383420,,,12.9489,80.1354
P07194,Adyar,904,24-01-2009,52,1,1,3,348042,23203,11601400,,,13.0067,80.257
P01107,Chrompet,1198,21-12-2012,105,1,1,3,255727,98991,8249260,,,12.9489,80.1354
P02442,Karapakkam,931,03-10-2011,16,1,1,3,291669,166668,6944500,,,12.9346,80.2409
P06444,Karapakkam,1290,18-08-2009,86,1,1,3,364015,92940,7745000,,,12.9346,80.2409
P05298,Karapakkam,507,23-03-2010,49,1,1,2,252032,74464,5728000,,,12.9346,80.2409
P05882,KK Nagar,2492,06-12-2009,113,4,2,6,917550,224706,18725520,,,13.0378,80.2055
P02558,Karapakkam,851,11-09-2011,105,1,1,2,167896,39295,3572250,,,12.9346,80.2409
P09483,T Nagar,1882,18-11-2006,189,2,1,5,433393,272877,16051580,,,13.0418,80.2332
P06006,Anna Nagar,1710,12-11-2009,15,1,1,4,808639,161728,20215970,,,13.086,80.2103
P04106,Karapakkam,1412,06-11-2010,28,2,2,4,251370,192717,8379000,,,12.9346,80.2409
P09556,Adyar,779,12-10-2006,51,1,1,2,190463,31744,5290635,,,13.0067,80.257
P00389,T Nagar,1655,21-05-2014,19,1,1,4,376468,238430,12548930,,,13.0418,80.2332
P05245,Karapakkam,940,03-04-2010,167,1,1,3,263599,64435,5857750,,,12.9346,80.2409
P01690,KK Nagar,1667,26-02-2012,126,2,1,4,364810,268243,10729700,,,13.0378,80.2055
P07753,KK Nagar,1926,12-08-2008,49,3,2,5,816325,153061,17006780,,,13.0378,80.2055
P08611,Adyar,718,23-10-2007,75,1,1,2,211662,55701,5570050,,,13.0067,80.257
P01934,Karapakkam,545,12-01-2012,154,1,1,2,165738,88651,3854375,,,12.9346,80.2409
P06326,Karapakkam,1249,12-09-2009,25,1,1,3,318010,120328,8594875,,,12.9346,80.2409
P00865,T Nagar,1894,08-06-2013,187,2,1,5,406478,162591,13549250,,,13.0418,80.2332
P02088,Karapakkam,1469,12-12-2011,200,2,2,4,284423,132731,9480750,,,12.9346,80.2409
P07770,Adyar,916,08-08-2008,32,1,1,3,228053,23390,5847520,,,13.0067,80.257
P08118,Chrompet,934,20-04-2008,11,1,1,3,310749,58265,9710900,,,12.9489,80.1354
P03221,Karapakkam,1691,02-05-2011,100,2,2,4,319558,178576,9398750,,,12.9346,80.2409
P03273,Karapakkam,1236,21-04-2011,36,1,1,3,334638,114481,8806250,,,12.9346,80.2409
P08667,T Nagar,1577,28-09-2007,23,1,1,4,302183,193397,12087330,,,13.0418,80.2332
P03791,Anna Nagar,1915,10-01-2011,13,2,1,5,354391,170107,14175620,,,13.086,80.2103
P01247,Anna Nagar,1600,30-09-2012,154,1,1,4,309941,166891,11920820,,,13.086,80.2103
P02391,Velachery,1579,14-10-2011,58,2,1,4,467766,240565,13364730,,,12.9784,80.221
P07825,Adyar,1260,21-07-2008,89,2,2,4,256150,34615,6922975,,,13.0067,80.257
P05787,Adyar,1021,22-12-2009,176,1,1,3,361868,175098,11673175,,,13.0067,80.257
P02285,KK Nagar,2174,31-10-2011,48,3,2,5,548929,313674,13069740,,,13.0378,80.2055
P05304,Anna Nagar,1589,22-03-2010,39,1,,4,451857,85486,12212350,,,13.086,80.2103
P05309,Adyar,668,21-03-2010,177,1,1,2,329074,102836,10283575,,,13.0067,80.257
P09664,Velachery,1724,09-04-2006,116,2,1,4,358259,152260,8956480,,,12.9784,80.221
P02813,Adyar,890,20-07-2011,116,1,1,3,251557,43124,7187350,,,13.0067,80.257
P08933,Adyar,1218,13-06-2007,51,2,2,4,377246,138323,12574850,,,13.0067,80.257
P03590,Anna Nagar,1792,21-02-2011,41,1,1,4,514532,250313,13906270,,,13.086,80.2103
P01725,Karapakkam,1378,19-02-2012,192,2,2,4,297525,208268,9917500,,,12.9346,80.2409
P06570,Karapakkam,898,22-07-2009,72,1,1,3,345190,215744,8629750,,,12.9346,80.2409
P02686,Anna Nagar,1928,18-08-2011,148,2,1,5,466682,105003,11667050,,,13.086,80.2103
P07789,Chrompet,1233,02-08-2008,24,2,1,4,245429,107989,9817150,,,12.9489,80.1354
P08836,Velachery,1618,30-07-2007,100,2,1,4,370522,92631,9263050,,,12.9784,80.221
P02716,Karapakkam,627,12-08-2011,49,1,1,2,223975,92225,6587500,,,12.9346,80.2409
P09780,Velachery,1563,16-08-2005,43,2,1,4,303780,195987,9799360,,,12.9784,80.221
P06528,Karapakkam,1693,30-07-2009,187,2,2,4,384045,166420,12801500,,,12.9346,80.2409
P06989,T Nagar,1522,30-03-2009,85,1,1,4,506181,174545,17454510,,,13.0418,80.2332
P07824,Adyar,1090,21-07-2008,171,1,1,3,373632,98324,9832420,,,13.0067,80.257
P00545,Chrompet,1085,19-01-2014,149,1,1,3,387815,100545,14363500,,,12.9489,80.1354
P06461,T Nagar,1687,13-08-2009,73,1,1,4,411733,224582,12476770,,,13.0418,80.2332
P07650,Adyar,692,12-09-2008,62,1,1,2,394491,124576,10381355,,,13.0067,80.257
P07887,T Nagar,1518,03-07-2008,145,1,1,4,457606,158402,17600240,,,13.0418,80.2332
P08050,Adyar,1025,10-05-2008,125,1,1,3,349916,142153,10934875,,,13.0067,80.257
P04677,KK Nagar,2170,20-07-2010,121,3,2,5,593864,284560,12372160,,,13.0378,80.2055
P03124,Chrompet,969,23-05-2011,70,1,1,3,337463,146234,11248750,,,12.9489,80.1354
P08147,KK Nagar,1546,09-04-2008,129,2,1,4,441475,142411,14241140,,,13.0378,80.2055
P06097,KK Nagar,1709,24-10-2009,6,2,1,4,467388,233694,10160600,,,13.0378,80.2055
P00959,T Nagar,1659,07-04-2013,103,1,1,4,433251,216625,13539080,,,13.0418,80.2332
P00057,Chrompet,755,09-01-2015,8,1,1,2,289649,42911,10727750,,,12.9489,80.1354
